browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,,,,,,,,,,
Firefox,116,MacOS,en-CA,2023-08-16_19:11:08,2023-08-16_15:11:08,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start?token=av20,554.024,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
177,test,R,word,m,3t3_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,382660,timeout,2992,0
178,test,L,word,m,3t4_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,385660,timeout,2991,0
179,test,H,word,m,3t5_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,388660,timeout,2991,0
180,test,R,word,m,3t6_1C,1000,waitResponseWindow,3000,m,,,716;1000,42,16.67,389376,m,703,1
181,test,L,word,m,3t7_1C,1000,waitResponseWindow,3000,m,,,425;1000,60;25,16.67,392085,m,415,1
182,test,H,word,m,3t8_1C,1000,waitResponseWindow,3000,m,,,1000,60;60,16.67,397661,timeout,2992,0
183,test,M,word,m,3t9_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,400661,timeout,2992,0
184,test,O,word,m,3t10_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,403662,timeout,2989,0
185,test,T,word,m,3t11_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,406662,timeout,2992,0
186,test,M,word,m,3t12_1C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,409662,timeout,2989,0
187,test,S,word,m,3t13_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,412662,timeout,2992,0
188,test,I,word,m,3t14_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,415662,timeout,2990,0
189,test,A,word,m,3t15_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,418663,timeout,2992,0
190,test,E,word,m,3t16_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,421662,timeout,2992,0
191,test,C,word,m,3t17_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,424662,timeout,2991,0
192,test,M,word,m,3t18_1,1000,waitResponseWindow,3000,m,,,1001,60,16.68,427663,timeout,2992,0
193,test,E,word,m,3t19_1C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,430662,timeout,2990,0
194,test,R,word,m,3t20_1,1000,waitResponseWindow,3000,m,,,1001,60,16.68,433663,timeout,2993,0
195,test,M,word,m,3t21_1C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,436663,timeout,2991,0
196,test,H,word,m,3t22_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,439664,timeout,2992,0
197,test,T,word,m,3t23_1,1000,waitResponseWindow,3000,m,,,1000,60,16.67,442663,timeout,2991,0
199,test,,word,,placeholder8,,waitResponseWindow,1500,m,,,,,,482032,timeout,1480,
200,test,O,word,m,3t1_2,1000,waitResponseWindow,3000,m,,,999,60,16.66,485032,timeout,2989,0
201,test,L,word,m,3t2_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,488032,timeout,2990,0
202,test,D,word,m,3t3_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,491033,timeout,2991,0
203,test,K,word,m,3t4_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,494033,timeout,2993,0
204,test,I,word,m,3t5_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,497033,timeout,2991,0
205,test,D,word,m,3t6_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,500033,timeout,2989,0
206,test,A,word,m,3t7_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,503034,timeout,2993,0
207,test,E,word,m,3t8_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,506034,timeout,2992,0
208,test,B,word,m,3t9_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,509034,timeout,2991,0
209,test,S,word,m,3t10_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,512034,timeout,2991,0
210,test,P,word,m,3t11_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,515034,timeout,2990,0
211,test,B,word,m,3t12_2C,1000,waitResponseWindow,3000,m,,,1000,60,16.67,518034,timeout,2992,0
212,test,C,word,m,3t13_2,1000,waitResponseWindow,3000,m,,,1000,60,16.67,521034,timeout,2990,0
