browser,version,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s
Firefox,"114.0",MacOS,en-CA,2023-06-19_19:00:53,2023-06-19_15:00:53,2023-06-07_23:08:25,https://www.testable.org/experiment/11502/795217/start,535.713

rowNo,type,stim1,stimFormat,key,label,presTime,responseOptions,responseWindow,keyboard,if,then,presTime_ms,presTime_f,presTime_fDuration,timestamp,response,RT,correct
"180",test,R,word,m,3t6_1C,"1000",waitResponseWindow,"3000",m,"","",347;1004,"42","8.22",404805,m,336,"1"
"181",test,L,word,m,3t7_1C,"1000",waitResponseWindow,"3000",m,"","",318;1000,121;37,"8.31",407772,m,308,"1"
"182",test,H,word,m,3t8_1C,"1000",waitResponseWindow,"3000",m,"","",337;999,120;40,"8.33",410791,m,327,"1"
"183",test,M,word,m,3t9_1,"1000",waitResponseWindow,"3000",m,"","","1004",120;121,"8.32",416459,timeout,2993,"0"
"184",test,O,word,m,3t10_1,"1000",waitResponseWindow,"3000",m,"","","1003","121","8.29",419455,timeout,2986,"0"
"185",test,T,word,m,3t11_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",422455,timeout,2992,"0"
"186",test,M,word,m,3t12_1C,"1000",waitResponseWindow,"3000",m,"","",404;1001,"48","8.26",422857,m,393,"1"
"187",test,S,word,m,3t13_1,"1000",waitResponseWindow,"3000",m,"","","1004",121;121,"8.29",428455,timeout,2991,"0"
"188",test,I,word,m,3t14_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.33",431456,timeout,2992,"0"
"189",test,A,word,m,3t15_1,"1000",waitResponseWindow,"3000",m,"","","1000","120","8.34",434455,timeout,2991,"0"
"190",test,E,word,m,3t16_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",437459,timeout,2993,"0"
"191",test,C,word,m,3t17_1,"1000",waitResponseWindow,"3000",m,"","","996","120","8.30",440463,timeout,2994,"0"
"192",test,M,word,m,3t18_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",443468,timeout,2996,"0"
"193",test,E,word,m,3t19_1C,"1000",waitResponseWindow,"3000",m,"","",340;1000,"40","8.33",443807,m,329,"1"
"194",test,R,word,m,3t20_1,"1000",waitResponseWindow,"3000",m,"","","1004",120;121,"8.32",449473,timeout,2995,"0"
"195",test,M,word,m,3t21_1C,"1000",waitResponseWindow,"3000",m,"","",376;1004,"45","8.24",449847,m,364,"1"
"196",test,H,word,m,3t22_1,"1000",waitResponseWindow,"3000",m,"","","1003",120;121,"8.33",455472,timeout,2995,"0"
"197",test,T,word,m,3t23_1,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",458468,timeout,2987,"0"
"199",test,"",word,"",placeholder8,"",waitResponseWindow,"1500",m,"","","","","",463722,timeout,1495,""
"200",test,O,word,m,3t1_2,"1000",waitResponseWindow,"3000",m,"","","1000","119","8.40",466721,timeout,2989,"0"
"201",test,L,word,m,3t2_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",469723,timeout,2991,"0"
"202",test,D,word,m,3t3_2,"1000",waitResponseWindow,"3000",m,"","","1003","121","8.29",472725,timeout,2994,"0"
"203",test,K,word,m,3t4_2,"1000",waitResponseWindow,"3000",m,"","","1004","121","8.30",475721,timeout,2986,"0"
"204",test,I,word,m,3t5_2,"1000",waitResponseWindow,"3000",m,"","","1005","121","8.30",478718,timeout,2989,"0"
"205",test,D,word,m,3t6_2C,"1000",waitResponseWindow,"3000",m,"","",325;1004,"39","8.27",479042,m,311,"1"
